Vehicle Description,Listing Price,Dealer Name
New 2024 Ford Bronco Sport Heritage,"$34,367",Don's Ford
New 2024 Ford Bronco Sport Heritage,"$34,104",Don's Ford
New 2024 Ford Bronco Sport Outer Banks,"$35,147",Don's Ford
New 2025 Ford Transit-150 Base,"$50,970",Monaco Ford of Niantic
New 2024 Ford Transit-250 Base,"$55,720",Lawrence Hall Ford
New 2024 Ford Bronco Sport Big Bend,"$29,984",Montrose Ford Nissan
New 2024 Ford Bronco Wildtrak,"$63,267",Lithia Ford Idaho Falls
New 2024 Ford F-150 Lightning Pro,"$60,435",Kearny Mesa Ford
New 2024 Ford F-150 Lightning Pro,"$71,935",Kearny Mesa Ford
New 2024 Ford F-150 Lightning Pro,"$68,318",Kearny Mesa Ford
New 2024 Ford Escape ST-Line,"$29,424",Kearny Mesa Ford
New 2024 Ford E-Transit Base,"$54,380",Kearny Mesa Ford
New 2024 Ford E-Transit Base,"$54,380",Kearny Mesa Ford
New 2025 Ford Transit-350 XL,"$70,175",Mike White Ford
New 2024 Ford Transit-350 XL,"$69,810",Mike White Ford
New 2025 Ford Transit-350 Base,"$69,635",Mike White Ford
New 2024 Ford Transit-350 XL,"$71,285",Mike White Ford
New 2025 Ford Transit-350 Base,"$64,605",Corwin Ford of Spokane
New 2025 Ford Transit-350 XLT,"$72,440",Corwin Ford of Spokane
New 2025 Ford Transit-350 XLT,"$76,060",Corwin Ford of Spokane
New 2025 Ford Transit-350 Base,"$65,510",Corwin Ford of Spokane
New 2025 Ford Transit-350 XLT,"$70,025",Corwin Ford of Spokane
New 2024 Ford Transit-350 Base,"$62,499",Corwin Ford of Spokane
New 2025 Ford Bronco Sport Big Bend,"$31,590",Watsonville Ford
New 2025 Ford Bronco Base,"$41,015",North Bay Ford
New 2024 Ford Transit-250 Base,"$49,039",North Bay Ford
New 2024 Ford Bronco Sport Badlands,"$37,995",Uptown Ford of Oakland
New 2024 Ford Bronco Sport Heritage,"$34,740",Uptown Ford of Oakland
New 2024 Ford Bronco Sport Free Wheeling,"$32,980",Uptown Ford of Oakland
New 2025 Ford Bronco Sport Outer Banks,"$40,670",Uptown Ford of Oakland
New 2024 Ford Bronco Sport Big Bend,"$30,995",Uptown Ford of Oakland
New 2024 Ford Bronco Sport Heritage,"$34,935",Uptown Ford of Oakland
New 2025 Ford Escape Active,"$30,990",Marin County Ford
New 2025 Ford Escape SE,"$43,020",Marin County Ford
New 2025 Ford Escape SE,"$43,020",Marin County Ford
New 2025 Ford Bronco Sport Outer Banks,"$37,339",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Badlands,"$42,122",Kendall Ford of Eugene
New 2024 Ford Bronco Sport Badlands,"$38,840",Kendall Ford of Eugene
New 2025 Ford Explorer ST-Line,"$49,150",Kendall Ford of Eugene
New 2024 Ford Bronco Sport Heritage,"$32,969",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Outer Banks,"$34,992",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Badlands,"$42,373",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Outer Banks,"$37,209",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Badlands,"$40,062",Kendall Ford of Eugene
New 2025 Ford Explorer ST,"$53,658",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Outer Banks,"$40,735",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Outer Banks,"$34,857",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Heritage,"$35,613",Kendall Ford of Eugene
New 2025 Ford Explorer ST-Line,"$45,247",Kendall Ford of Eugene
New 2025 Ford Explorer ST,"$53,658",Kendall Ford of Eugene
New 2024 Ford F-250 XLT,"$55,329",Harper Motors
New 2025 Ford Bronco Sport Big Bend,"$30,250",Jones Ford
New 2025 Ford Bronco Sport Heritage,"$33,998",Jones Ford
New 2025 Ford Bronco Sport Outer Banks,"$36,921",Walterboro Ford
New 2024 Ford Bronco Sport Free Wheeling,"$33,364",Tidelands Ford
New 2025 Ford Bronco Sport Heritage,"$35,788",Tidelands Ford
New 2025 Ford Bronco Sport Outer Banks,"$39,905",Tidelands Ford
New 2024 Ford Transit-150 Base,"$52,140","Paducah Ford Lincoln Mazda, Inc."
New 2024 Ford Mustang Mach-E Premium,"$46,019",County Ford
New 2025 Ford Explorer Active,"$42,245",Cavenaugh Ford
New 2024 Ford Ranger XLT,"$37,969",Cavenaugh Ford
New 2025 Ford Escape Base,"$36,392",Mid-State Ford
New 2025 Ford Transit-250 Base,"$49,999",Mid-State Ford
New 2025 Ford Escape ST-Line Elite,"$40,060",Mid-State Ford
New 2024 Ford Transit-250 148 WB Medium Roof Cargo,"$51,020",Dutch Miller Ford of Ripley
New 2024 Ford Bronco Big Bend,"$50,209",Jarrett Gordon Ford of Davenport
New 2025 Ford Escape Platinum,"$40,045",Sarasota Ford
New 2024 Ford Escape Active,"$25,260",Laura Ford of Sullivan
New 2025 Ford Transit-150 Base,"$49,390",Sam Leman Ford
New 2025 Ford Transit-350 Base,"$53,994",Kenny Ross Ford South
New 2024 Ford Bronco Sport Outer Banks,"$36,520",Coconut Point Ford
New 2024 Ford Bronco Sport Outer Banks,"$36,540",Coconut Point Ford
New 2025 Ford Bronco Badlands,"$67,093",Joe Machens Capital City Ford
New 2024 Ford Transit-150,"$53,154",Spitzer Ford Cuyahoga Falls
New 2024 Ford Transit-250 Base,"$57,948",AutoNation Ford Westlake
New 2024 Ford Bronco Wildtrak,"$62,135",Star Ford Lincoln
New 2025 Ford F-350 Lariat,"$94,175",Wayne Akers Ford
New 2024 Ford Bronco Big Bend,"$43,000",Wood Ford Carthage
New 2024 Ford Transit-250 Base,"$52,305",Lake View Ford Inc.
New 2025 Ford Transit-250 Base,"$55,095",Lake View Ford Inc.
New 2025 Ford Bronco Sport Big Bend,"$34,405",Lake View Ford Inc.
New 2025 Ford Bronco Sport Big Bend,"$31,590",Bob Ferrando Ford
New 2024 Ford Bronco Sport Heritage,"$35,515",Bob Ferrando Ford
New 2024 Ford Transit-250 148 WB Medium Roof Cargo,"$62,287",Bob Ferrando Ford
New 2025 Ford Bronco Sport Big Bend,"$35,985",Bob Ferrando Ford
New 2025 Ford Transit-250 148 WB Medium Roof Cargo,"$55,590",Bob Ferrando Ford
New 2025 Ford Bronco Sport Big Bend,"$32,985",Bob Ferrando Ford
New 2024 Ford Transit-250 148 WB Medium Roof Cargo,"$55,672",Bob Ferrando Ford
New 2025 Ford Mustang EcoBoost,"$44,460",Twin Pine Ford
New 2024 Ford Transit-250 Base,"$55,600",North Central Ford
New 2025 Ford Transit-350 Base,"$58,581",North Central Ford
New 2024 Ford Transit-250 Base,"$55,600",North Central Ford
New 2025 Ford Transit-350 Base,"$58,561",North Central Ford
New 2024 Ford Transit-250 148 WB Medium Roof Cargo,"$50,000",Five Star Ford Dallas
New 2024 Ford Transit-250 Base,"$53,335",EAG Ford Navasota
New 2024 Ford Transit-250 Base,"$49,185",Sam Pack's Five Star Ford Carrollton
New 2025 Ford Transit-350 Base,"$63,525",Karl Ford of Story City
New 2025 Ford Bronco Sport Outer Banks,"$37,074",Dahl Ford of Onalaska
New 2024 Ford Maverick XLT,"$27,535",Mac Haik Hyundai
New 2024 Ford Bronco Sport Free Wheeling,"$31,851",Don's Ford
New 2024 Ford Bronco Sport Outer Banks,"$34,822",Don's Ford
New 2025 Ford Transit-150 Base,"$46,166",Don's Ford
New 2025 Ford Bronco Sport Heritage,"$35,557",Don's Ford
New 2024 Ford Expedition Max Platinum,"$81,719",Courtesy Ford Auto & Truck
New 2024 Ford Transit-250 Base,"$55,240",AutoNation Ford Corpus Christi
New 2024 Ford Expedition Max XLT,"$66,268",Ken Stoepel Ford
New 2025 Ford F-350 Lariat Super Duty,"$94,695",Ford of Greenfield
New 2024 Ford Transit-250,"$50,254",Kelly Ford
New 2024 Ford Transit-250 148 WB Medium Roof Cargo,"$51,067",Kelly Ford
New 2025 Ford F-150 Lightning Flash,"$72,165",Gene Messer Ford of Amarillo
New 2025 Ford Ranger XL,"$34,820",Gene Messer Ford of Amarillo
New 2024 Ford Bronco Sport Heritage,"$33,591",Montrose Ford Nissan
New 2024 Ford Bronco Sport Big Bend,"$31,258",Montrose Ford Nissan
New 2025 Ford Bronco Sport Free Wheeling,"$38,025",Hellman Ford
New 2025 Ford Escape Active,"$31,094",Kendall Ford of Bozeman
New 2025 Ford Escape Active,"$31,362",Kendall Ford of Bozeman
New 2024 Ford Maverick Lariat,"$40,839",Ford Country
New 2024 Ford Transit-150 Base,"$49,290",Ford Country
New 2024 Ford Transit-150 Base,"$50,635",Ford Country
New 2024 Ford Transit-250 Base,"$57,321",Mountain Home Auto Ranch Ford
New 2024 Ford Ranger XLT,"$38,586",Palm Springs Motors Ford
New 2024 Ford E-Transit Base,"$54,380",Kearny Mesa Ford
New 2024 Ford E-Transit Base,"$54,380",Kearny Mesa Ford
New 2024 Ford F-150 Lightning Pro,"$57,766",Kearny Mesa Ford
New 2024 Ford E-Transit Base,"$54,380",Kearny Mesa Ford
New 2025 Ford Transit-350 Base,"$64,155",Mike White Ford
New 2025 Ford Transit-350 Base,"$62,685",Mike White Ford
New 2025 Ford Transit-350 XLT,"$71,015",Corwin Ford of Spokane
New 2024 Ford Transit-350 Base,"$76,810",Corwin Ford of Spokane
New 2025 Ford Transit-350 XLT,"$68,905",Corwin Ford of Spokane
New 2025 Ford Transit-350 XLT,"$72,915",Corwin Ford of Spokane
New 2024 Ford Transit-350 Base,"$62,674",Corwin Ford of Spokane
New 2025 Ford Bronco Sport Outer Banks,"$34,677",Watsonville Ford
New 2024 Ford Bronco Wildtrak,"$62,998",North Bay Ford
New 2025 Ford Bronco Heritage Edition,"$54,389",North Bay Ford
New 2024 Ford Bronco Sport Heritage,"$33,585",Uptown Ford of Oakland
New 2024 Ford Bronco Sport Big Bend,"$29,890",Uptown Ford of Oakland
New 2024 Ford Bronco Sport Big Bend,"$29,685",Uptown Ford of Oakland
New 2025 Ford Explorer Active,"$47,120",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Outer Banks,"$36,187",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Badlands,"$40,447",Kendall Ford of Eugene
New 2024 Ford Ranger XLT,"$38,871",Kendall Ford of Eugene
New 2025 Ford F-250 Lariat,"$90,864",Harper Motors
New 2025 Ford F-250 XL,"$67,924",Harper Motors
New 2024 Ford F-250 Platinum,"$88,742",Harper Motors
New 2024 Ford F-250 Lariat,"$84,601",Harper Motors
New 2024 Ford F-250 Lariat,"$76,090",Harper Motors
New 2024 Toyota bZ4X Limited,"$53,986",Toyota of Montgomery
New 2024 Toyota bZ4X Limited,"$52,738",Toyota of Montgomery
New 2025 Toyota GR Corolla Premium Plus,"$48,106",Bryan Easler Toyota
New 2024 Toyota RAV4 Hybrid XLE Premium,"$40,567",Prince of Tifton
New 2025 Toyota Crown Platinum,"$59,083",Toyota of Dothan
New 2024 Toyota bZ4X XLE,"$45,418",Chatham Parkway Toyota
New 2024 Toyota bZ4X Limited,"$50,869",Panama City Toyota
